MUN DATABASE SQL

TABLE: COUNTRIES
No. of countries: 39
+------+--------------+-----------+----------+
| No   | Country      | Status    | Delegate |
+------+--------------+-----------+----------+
|    1 | USA          | Available | NULL     |
|    2 | China        | Available | NULL     |
|    3 | Russia       | Available | NULL     |
|    4 | UK           | Available | NULL     |
|    5 | France       | Available | NULL     |
|    6 | India        | Available | NULL     |
|    7 | Germany      | Available | NULL     |
|    8 | Japan        | Available | NULL     |
|    9 | Brazil       | Available | NULL     |
|   10 | South Africa | Available | NULL     |
|   11 | Canada       | Available | NULL     |
|   12 | Australia    | Available | NULL     |
|   13 | Italy        | Available | NULL     |
|   14 | Mexico       | Available | NULL     |
|   15 | Saudi Arabia | Available | NULL     |
|   16 | Spain        | Available | NULL     |
|   17 | Turkey       | Available | NULL     |
|   18 | Egypt        | Available | NULL     |
|   19 | Israel       | Available | NULL     |
|   20 | Pakistan     | Available | NULL     |
|   21 | Nigeria      | Available | NULL     |
|   22 | South Korea  | Available | NULL     |
|   23 | Indonesia    | Available | NULL     |
|   24 | Argentina    | Available | NULL     |
|   25 | Sweden       | Available | NULL     |
|   26 | Norway       | Available | NULL     |
|   27 | Iran         | Available | NULL     |
|   28 | Bangladesh   | Available | NULL     |
|   29 | Ukraine      | Available | NULL     |
|   30 | Thailand     | Available | NULL     |
|   31 | Netherlands  | Available | NULL     |
|   32 | Poland       | Available | NULL     |
|   33 | Switzerland  | Available | NULL     |
|   34 | Malaysia     | Available | NULL     |
|   35 | Iraq         | Available | NULL     |
|   36 | Belgium      | Available | NULL     |
|   37 | Greece       | Available | NULL     |
|   38 | Philippines  | Available | NULL     |
|   39 | Denmark      | Available | NULL     |
+------+--------------+-----------+----------+

TABLE: DELEGATES
No. of entries: 150
+-------+-------------------------+---------------------------+------+------+-----------+-----------------------+--------------------+------+------+------+------+------+
| Entry | Name                    | School                    | Age  | MUNs | Committee | Portfolio_1           | Portfolio_2        | BD   | HC   | SM   | HM   | VM   |
+-------+-------------------------+---------------------------+------+------+-----------+-----------------------+--------------------+------+------+------+------+------+
|     1 | Wahab Khalsa            | Delhi Public School       |   15 |    5 | UNHRC     | Russia                | Germany            |    0 |    1 |    0 |    1 |    1 |
|     2 | Aahana Dixit            | DAV Gopalapuram           |   14 |    1 | AIPPM     | Bhupender Yadav       | Arjun Munda        |    0 |    0 |    2 |    0 |    1 |
|     3 | Zayan Khanna            | Chinmaya Vidyalaya        |   17 |    2 | CRISIS    | Australia             | France             |    0 |    0 |    1 |    1 |    0 |
|     4 | Ekapad Lad              | Velammal Vidyalaya        |   16 |    4 | UNHRC     | Germany               | USA                |    1 |    0 |    0 |    1 |    0 |
|     5 | Urmi Tata               | Chettinad Vidyashram      |   15 |    2 | UNGA      | Japan                 | Russia             |    0 |    1 |    0 |    0 |    0 |
|     6 | Bhavini Kanda           | National Public School    |   14 |    0 | UNHRC     | UK                    | India              |    0 |    0 |    0 |    1 |    1 |
|     7 | Ati Chaudhuri           | SBOA School & Jr. College |   17 |    7 | AIPPM     | M. K. Stalin          | Sonia Gandhi       |    1 |    1 |    1 |    0 |    1 |
|     8 | Utkarsh Bail            | PSBB                      |   16 |    3 | CRISIS    | France                | Germany            |    0 |    1 |    0 |    0 |    2 |
|     9 | Lipika Maharaj          | Hindustan Intl School     |   15 |    2 | UNGA      | China                 | USA                |    2 |    0 |    0 |    0 |    0 |
|    10 | Bakhshi Nagarajan       | The Pupil Saveetha        |   14 |    5 | AIPPM     | Uddhav Thackeray      | Narendra Modi      |    0 |    1 |    1 |    1 |    0 |
|    11 | Arya Sami               | DAV Gopalapuram           |   17 |    8 | UNHRC     | India                 | Brazil             |    0 |    0 |    1 |    0 |    2 |
|    12 | Tristan Balasubramanian | PSBB                      |   15 |    1 | CRISIS    | Japan                 | Russia             |    1 |    0 |    0 |    2 |    0 |
